name,generation
ボルトロス,generation-v
ランドロス,generation-v
ケルディオ,generation-v
メロエッタ,generation-v
ゲノセクト,generation-v
ハリマロン,generation-vi
ハリボーグ,generation-vi
ブリガロン,generation-vi
テールナー,generation-vi
ゲコガシラ,generation-vi
ゲッコウガ,generation-vi
ヒノヤコマ,generation-vi
コフキムシ,generation-vi
コフーライ,generation-vi
カエンジシ,generation-vi
フラエッテ,generation-vi
メェークル,generation-vi
ゴーゴート,generation-vi
ヤンチャム,generation-vi
トリミアン,generation-vi
ニャスパー,generation-vi
ニダンギル,generation-vi
ギルガルド,generation-vi
シュシュプ,generation-vi
フレフワン,generation-vi
ペロッパフ,generation-vi
ペロリーム,generation-vi
マーイーカ,generation-vi
カラマネロ,generation-vi
ガメノデス,generation-vi
ドラミドロ,generation-vi
ウデッポウ,generation-vi
ブロスター,generation-vi
エリキテル,generation-vi
エレザード,generation-vi
ガチゴラス,generation-vi
アマルルガ,generation-vi
ニンフィア,generation-vi
ルチャブル,generation-vi
ヌメルゴン,generation-vi
クレッフィ,generation-vi
オーロット,generation-vi
バケッチャ,generation-vi
パンプジン,generation-vi
カチコール,generation-vi
クレベース,generation-vi
オンバット,generation-vi
オンバーン,generation-vi
ゼルネアス,generation-vi
イベルタル,generation-vi
フクスロー,generation-vii
ニャヒート,generation-vii
ガオガエン,generation-vii
オシャマリ,generation-vii
アシレーヌ,generation-vii
ケララッパ,generation-vii
ドデカバシ,generation-vii
ヤングース,generation-vii
デカグース,generation-vii
アゴジムシ,generation-vii
デンヂムシ,generation-vii
クワガノン,generation-vii
マケンカニ,generation-vii
ケケンカニ,generation-vii
オドリドリ,generation-vii
アブリボン,generation-vii
ルガルガン,generation-vii
ドヒドイデ,generation-vii
ドロバンコ,generation-vii
バンバドロ,generation-vii
ラランテス,generation-vii
マシェード,generation-vii
ヤトウモリ,generation-vii
ヌイコグマ,generation-vii
キテルグマ,generation-vii
アママイコ,generation-vii
アマージョ,generation-vii
キュワワー,generation-vii
コソクムシ,generation-vii
シロデスナ,generation-vii
ナマコブシ,generation-vii
ネッコアラ,generation-vii
バクガメス,generation-vii
トゲデマル,generation-vii
ミミッキュ,generation-vii
ハギギシリ,generation-vii
ジジーロン,generation-vii
ジャランゴ,generation-vii
コスモッグ,generation-vii
コスモウム,generation-vii
ソルガレオ,generation-vii
ルナアーラ,generation-vii
ウツロイド,generation-vii
テッカグヤ,generation-vii
カミツルギ,generation-vii
ネクロズマ,generation-vii
アーゴヨン,generation-vii
ズガドーン,generation-vii
メルメタル,generation-vii
バチンキー,generation-viii
ラビフット,generation-viii
ジメレオン,generation-viii
ホシガリス,generation-viii
ヨクバリス,generation-viii
アオガラス,generation-viii
サッチムシ,generation-viii
レドームシ,generation-viii
ワタシラガ,generation-viii
カジリガメ,generation-viii
パルスワン,generation-viii
トロッゴン,generation-viii
カジッチュ,generation-viii
タルップル,generation-viii
サダイジャ,generation-viii
サシカマス,generation-viii
マルヤクデ,generation-viii
オトスパス,generation-viii
ポットデス,generation-viii
ブリムオン,generation-viii
オーロンゲ,generation-viii
サニゴーン,generation-viii
バリコオル,generation-viii
デスバーン,generation-viii
マホイップ,generation-viii
タイレーツ,generation-viii
バチンウニ,generation-viii
コオリッポ,generation-viii
イエッサン,generation-viii
ドラメシヤ,generation-viii
ドラパルト,generation-viii
ザマゼンタ,generation-viii
ウーラオス,generation-viii
レジエレキ,generation-viii
レジドラゴ,generation-viii
ブリザポス,generation-viii
レイスポス,generation-viii
